Title,Author,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Ban Status,Origin of Challenge
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,Florida,Santa Rosa County District Schools,April 2022,Banned Pending Investigation,Administrator
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,Florida,St. Lucie Public Schools,January 2022,Banned in Libraries,Formal Challenge
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,Florida,Walton County School District,April 2022,Banned Pending Investigation,Administrator
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,Georgia,Forsyth County Schools,January 2022,Banned in Libraries,Administrator
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,Idaho,Nampa School District,May 2022,Banned in Libraries and Classrooms,Administrator
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,Iowa,Ankeny Community School District,November 2021,Banned in Libraries,Formal Challenge
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,Iowa,Ottumwa Community School District,April 2022,Banned Pending Investigation,Administrator
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,Kansas,Derby Public Schools,November 2021,Banned in Libraries and Classrooms,Formal Challenge
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,Kansas,Goddard Public Schools,November 2021,Banned Pending Investigation,Administrator
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,Michigan,Gladwin Community Schools,May 2022,Banned Pending Investigation,Administrator
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,Mississippi,Madison County Schools,April 2022,Banned in Libraries,Administrator
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,Oklahoma,Bristow Public Schools,October 2021,Banned Pending Investigation,Administrator
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,Texas,Fredericksburg Independent School District,March 2022,Banned Pending Investigation,Administrator
Thunder Boy Jr.,"Alexie, Sherman",,"Morales, Yuyi",,Florida,Duval County Public Schools,January 2022,Banned Pending Investigation,Administrator
Girls Like Us (2019),"Alger, Cristina",,,,Florida,Indian River County School District,November 2021,Banned in Libraries,Administrator
The Case for Loving: The Fight for Interracial Marriage,"Alko, Selina",,"Qualls, Sean",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
The House of the Spirits,"Allende, Isabel",,,,Florida,Indian River County School District,November 2021,Banned Pending Investigation,Administrator
The Ballad of Ami Miles,"Alley, Kristy Dallas",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
Hear These Voices: Youth at the Edge of the Millennium,"Allison, Anthony",,,,Florida,Indian River County School District,November 2021,Banned Pending Investigation,Administrator
A is for Audra: Broadway's Leading Ladies from A to Z,"Allman, John Robert",,"Emmerich, Peter",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
"Bioethics: Who Lives, Who Dies, And Who Decides?","Altman, Linda Jacobs",,,,Texas,Granbury Independent School District,January 2022,Banned Pending Investigation,Administrator
"Bioethics: Who Lives, Who Dies, And Who Decides?","Altman, Linda Jacobs",,,,Texas,North East Independent School District,December 2021,Banned in Libraries,Administrator
We Are All Born Free: The Universal Declaration of Human Rights in Pictures,Amnesty International,,,,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
"Bless Me, Ultima","Anaya, Rudolfo",,,,Oklahoma,Bristow Public Schools,October 2021,Banned Pending Investigation,Administrator
The Weight of the Stars,"Ancrum, K.",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
Victories Greater Than Death (Unstoppable Series),"Anders, Charlie Jane",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
Neither,"Anderson, Airlie",,,,Florida,Duval County Public Schools,January 2022,Banned Pending Investigation,Administrator
White Rage: The Unspoken Truth of Our Racial Divide,"Anderson, Carol",,,,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Shout,"Anderson, Laurie Halse",,,,Texas,Granbury Independent School District,January 2022,Banned Pending Investigation,Administrator
Shout,"Anderson, Laurie Halse",,,,Texas,Leander Independent School District,September 2021,Banned in Classrooms,Administrator
Shout,"Anderson, Laurie Halse",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
Speak,"Anderson, Laurie Halse",,,,Florida,Flagler Schools,November 2021,Banned Pending Investigation,Administrator
Speak,"Anderson, Laurie Halse",,,,Florida,Indian River County School District,November 2021,Banned Pending Investigation,Administrator
Speak,"Anderson, Laurie Halse",,,,Idaho,Nampa School District,May 2022,Banned in Libraries and Classrooms,Administrator
Speak,"Anderson, Laurie Halse",,,,Michigan,Gladwin Community Schools,May 2022,Banned Pending Investigation,Administrator
Speak,"Anderson, Laurie Halse",,,,Mississippi,Madison County Schools,April 2022,Banned in Libraries,Administrator
Speak,"Anderson, Laurie Halse",,,,Oklahoma,Bristow Public Schools,October 2021,Banned in Libraries,Administrator
Feed,"Anderson, M. T.",,,,Florida,Indian River County School District,November 2021,Banned Pending Investigation,Administrator
Some Assembly Required: The Not-So-Secret Life of a Transgender Teen,"Andrews, Arin",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,Florida,Indian River County School District,November 2021,Banned in Libraries and Classrooms,Administrator
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,Florida,Osceola County School District,April 2022,Banned Pending Investigation,Administrator
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,Georgia,Forsyth County Schools,January 2022,Banned in Libraries and Classrooms,Administrator
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,Iowa,Ankeny Community School District,November 2021,Banned in Libraries,Formal Challenge
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,Pennsylvania,Downingtown Area School District,October 2021,Banned Pending Investigation,Administrator
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,Pennsylvania,Elizabethtown Area School District,April 2022,Banned Pending Investigation,Formal Challenge
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,Tennessee,Blount County Schools,November 2021,Banned in Libraries,Formal Challenge
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,Texas,Cypress-Fairbanks Independent School District,January 2022,Banned in Libraries,Administrator
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,Texas,Fredericksburg Independent School District,March 2022,Banned in Libraries and Classrooms,Administrator
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,Texas,Granbury Independent School District,January 2022,Banned Pending Investigation,Administrator
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,Texas,Katy Independent School District,November 2021,Banned in Libraries and Classrooms,Administrator
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,Texas,Keller Independent School District,November 2021,Banned in Libraries,Formal Challenge
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,Texas,Lamar Consolidated Independent School District,December 2021,Banned Pending Investigation,Administrator
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
The Haters,"Andrews, Jesse",,,,Florida,Brevard Public Schools,March 2022,Banned Pending Investigation,Administrator
The Haters,"Andrews, Jesse",,,,Florida,Indian River County School District,November 2021,Banned in Libraries,Administrator
The Haters,"Andrews, Jesse",,,,Michigan,Rochester Community Schools District,April 2022,Banned Pending Investigation,Administrator
The 5 O'Clock Band,"Andrews, Troy",,"Collier, Bryan",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Trombone Shorty,"Andrews, Troy",,"Collier, Bryan",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
And Still I Rise,"Angelou, Maya",,,,Texas,Klein Independent School District,December 2021,Banned Pending Investigation,Administrator
I Know Why The Caged Bird Sings,"Angelou, Maya",,,,Oklahoma,Bristow Public Schools,October 2021,Banned in Libraries and Classrooms,Administrator
I Know Why The Caged Bird Sings,"Angelou, Maya",,,,Oklahoma,Edmond Public Schools,October 2021,Banned in Libraries and Classrooms,Administrator
Modern Romance: An Investigation,"Ansari, Aziz","Klinenberg, Eric",,,Missouri,Wentzville School District,October 2021,Banned Pending Investigation,Formal Challenge
Duels and Deception,"Anstey, Cindy",,,,Texas,Katy Independent School District,April 2022,Banned in Libraries,Administrator
LGBTQ Families: The Ultimate Teen Guide,"Apelqvist, Eva",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
Wishtree,"Applegate, Katherine",,"Santoso, Charles",,Florida,Indian River County School District,November 2021,Banned in Libraries and Classrooms,Administrator
Meet Cute: Some People Are Destined to Meet,"Armentrout, Jennifer L.","Clayton, Dhonielle; Cotugno, Katie; Davies, Jocelyn; LaCour, Nina; Lord, Emery; McGee, Katharine; Morgan, Kass; Russo, Meredith; Shepard, Sara; Yoon, Nicola; Zoboi, Ibi; Murphy, Julie",,,Texas,Granbury Independent School District,January 2022,Banned Pending Investigation,Administrator
A Boy Called Bat (A Boy Called Bat Series),"Arnold, Elana K.",,"Santoso, Charles",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Bat and the End of Everything (A Boy Called Bat Series),"Arnold, Elana K.",,"Santoso, Charles",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Bat and the Waiting Game (A Boy Called Bat Series),"Arnold, Elana K.",,"Santoso, Charles",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Damsel,"Arnold, Elana K.",,,,Florida,Brevard Public Schools,March 2022,Banned Pending Investigation,Administrator
Infandous,"Arnold, Elana K.",,,,Florida,Brevard Public Schools,March 2022,Banned Pending Investigation,Administrator
Infandous,"Arnold, Elana K.",,,,Oklahoma,Bristow Public Schools,October 2021,Banned in Libraries,Administrator
Red Hood,"Arnold, Elana K.",,,,Florida,Brevard Public Schools,March 2022,Banned Pending Investigation,Administrator
What Girls Are Made Of,"Arnold, Elana K.",,,,Florida,Brevard Public Schools,March 2022,Banned Pending Investigation,Administrator
What Girls Are Made Of,"Arnold, Elana K.",,,,Texas,Cypress-Fairbanks Independent School District,April 2022,Banned in Libraries and Classrooms,Administrator
What Girls Are Made Of,"Arnold, Elana K.",,,,Texas,Frisco Independent School District,May 2022,Banned in Libraries and Classrooms,Administrator
A Girl on the Shore,"Asano, Inio",,,,Ohio,Hudson City Schools,September 2021,Banned in Libraries and Classrooms,Administrator
Thirteen Reasons Why,"Asher, Jay",,,,Florida,Indian River County School District,November 2021,Banned Pending Investigation,Administrator
Thirteen Reasons Why,"Asher, Jay",,,,Florida,Jackson County School District,April 2022,Banned in Libraries and Classrooms,Administrator
Thirteen Reasons Why,"Asher, Jay",,,,Florida,Lee County Schools,May 2022,Banned in Libraries,Administrator
Thirteen Reasons Why,"Asher, Jay",,,,Florida,Polk County Public Schools,January 2022,Banned in Libraries,Administrator
Thirteen Reasons Why,"Asher, Jay",,,,Florida,Santa Rosa County District Schools,April 2022,Banned Pending Investigation,Administrator
Thirteen Reasons Why,"Asher, Jay",,,,Florida,St. Johns County School District,May 2022,Banned in Libraries,Formal Challenge
Thirteen Reasons Why,"Asher, Jay",,,,Florida,St. Lucie Public Schools,December 2021,Banned in Libraries,Formal Challenge
Thirteen Reasons Why,"Asher, Jay",,,,Florida,Walton County School District,April 2022,Banned Pending Investigation,Administrator
Thirteen Reasons Why,"Asher, Jay",,,,Idaho,Nampa School District,May 2022,Banned in Libraries and Classrooms,Administrator
Thirteen Reasons Why,"Asher, Jay",,,,Michigan,Gladwin Community Schools,May 2022,Banned Pending Investigation,Administrator
Thirteen Reasons Why,"Asher, Jay",,,,Texas,Fredericksburg Independent School District,March 2022,Banned Pending Investigation,Administrator
Thirteen Reasons Why,"Asher, Jay",,,,Texas,Katy Independent School District,October 2021,Banned in Libraries,Administrator
Anna Hibiscus (Anna Hibiscus Series),Atinuke,,,,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
The Black Flamingo,"Atta, Dean",,,,Florida,Indian River County School District,November 2021,Banned Pending Investigation,Administrator
The Black Flamingo,"Atta, Dean",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
The Black Flamingo,"Atta, Dean",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
The Handmaid's Tale,"Atwood, Margaret",,,,Florida,Indian River County School District,November 2021,Banned Pending Investigation,Administrator
The Handmaid's Tale,"Atwood, Margaret",,,,Georgia,Forsyth County Schools,January 2022,Banned in Libraries,Administrator
The Handmaid's Tale,"Atwood, Margaret",,,,Idaho,Nampa School District,May 2022,Banned in Libraries and Classrooms,Administrator
The Handmaid's Tale,"Atwood, Margaret",,,,Kansas,Goddard Public Schools,November 2021,Banned Pending Investigation,Administrator
The Handmaid's Tale,"Atwood, Margaret",,,,Michigan,Gladwin Community Schools,May 2022,Banned Pending Investigation,Administrator
The Handmaid's Tale,"Atwood, Margaret",,,,Michigan,Rochester Community Schools District,April 2022,Banned Pending Investigation,Administrator
The Handmaid's Tale,"Atwood, Margaret",,,,Texas,Fredericksburg Independent School District,March 2022,Banned Pending Investigation,Administrator
The Handmaid's Tale,"Atwood, Margaret",,,,Texas,Klein Independent School District,November 2021,Banned Pending Investigation,Administrator
The Handmaid's Tale,"Atwood, Margaret",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",,"Nault, Renee",,Kansas,Goddard Public Schools,November 2021,Banned Pending Investigation,Administrator
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",,"Nault, Renee",,Oregon,Medford School District 549C,April 2022,Banned in Libraries,Formal Challenge
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",,"Nault, Renee",,Texas,Leander Independent School District,September 2021,Banned in Classrooms,Administrator
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",,"Nault, Renee",,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
The Testaments,"Atwood, Margaret",,,,Kansas,Goddard Public Schools,November 2021,Banned Pending Investigation,Administrator
The Testaments,"Atwood, Margaret",,,,Texas,Fredericksburg Independent School District,March 2022,Banned Pending Investigation,Administrator
Raise the Stakes,"Atwood, Megan",,,,Texas,North East Independent School District,December 2021,Banned in Libraries,Administrator
Worm Loves Worm,"Austrian, J.J.",,"Curato, Mike",,Florida,Lee County Schools,March 2022,Banned in Classrooms,Administrator
Worm Loves Worm,"Austrian, J.J.",,"Curato, Mike",,Florida,Walton County School District,April 2022,Banned Pending Investigation,Administrator
Rising Out,"Azmitia, M.",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
"Sex, Puberty, and All That Stuff: A Guide to Growing Up","Bailey, Jacqui",,"McCafferty, Jan",,Texas,North East Independent School District,December 2021,Banned in Libraries,Administrator
Morris Micklewhite and the Tangerine Dress,"Baldacchino, Christine",,"Malenfant, Isabelle",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Morris Micklewhite and the Tangerine Dress,"Baldacchino, Christine",,"Malenfant, Isabelle",,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
Blindspot: Hidden Biases of Good People,"Banaji, Mahzarin R.","Greenwald, Anthony G.",,,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
One Man Guy,"Barakiva, Michael",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
Nothing Stopped Sophie: The Story of Unshakable Mathematician Sophie Germain,"Bardoe, Cheryl",,"McClintock, Barbara",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Six of Crows (Six of Crows Series),"Bardugo, Leigh",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
"Brand New School, Brave New Ruby (Ruby and the Booker Boys Series)","Barnes, Derrick",,"Brantley-Newton, Vanessa",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Crown: An Ode to the Fresh Cut,"Barnes, Derrick",,"James, Gordon C.",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
I Am Every Good Thing,"Barnes, Derrick",,"James, Gordon C.",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Ruby Flips For Attention (Ruby and the Booker Boys Series),"Barnes, Derrick",,"Brantley-Newton, Vanessa",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Slumber Party Payback (Ruby and the Booker Boys Series),"Barnes, Derrick",,"Brantley-Newton, Vanessa",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
"Trivia Queen, 3rd Grade Supreme (Ruby and the Booker Boys Series)","Barnes, Derrick",,"Brantley-Newton, Vanessa",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
No Mirrors in My Nana's House: Musical CD and Book,"Barnwell, Ysaye M.",,"Saint James, Synthia",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Peter Pan,"Barrie, James Matthew",,,,Tennessee,Hamilton County Schools,October 2021,Banned Pending Investigation,Administrator
They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,"Bartoletti, Susan Campbell",,,,Kansas,Goddard Public Schools,November 2021,Banned Pending Investigation,Administrator
They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,"Bartoletti, Susan Campbell",,,,Texas,Granbury Independent School District,January 2022,Banned Pending Investigation,Administrator
They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,"Bartoletti, Susan Campbell",,,,Texas,Klein Independent School District,November 2021,Banned Pending Investigation,Administrator
They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,"Bartoletti, Susan Campbell",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
Heart of Thorns (Heart of Thorns Series),"Barton, Bree",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
Soul of Cinder (Heart of Thorns Series),"Barton, Bree",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
Tears of Frost (Heart of Thorns Series),"Barton, Bree",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
Wonders of the Invisible World,"Barzak, Christopher",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
Girls Made of Snow and Glass,"Bashardoust, Melissa",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
Cinderella Is Dead,"Bayron, Kalynn",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
Cinderella Is Dead,"Bayron, Kalynn",,,,Texas,Granbury Independent School District,January 2022,Banned Pending Investigation,Administrator
Cinderella Is Dead,"Bayron, Kalynn",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
The Sky Is Mine,"Beashel, Amy",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
"Sofia Valdez, Future Prez (Questioneers Picture Books Series)","Beaty, Andrea",,"Roberts, David",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Knock Knock: My Dad's Dream for Me,"Beaty, Daniel",,"Collier, Bryan",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Fun Home: A Family Tragicomic,"Bechdel, Alison",,,,Kansas,Goddard Public Schools,November 2021,Banned Pending Investigation,Administrator
Fun Home: A Family Tragicomic,"Bechdel, Alison",,,,Michigan,Rochester Community Schools District,April 2022,Banned Pending Investigation,Administrator
Fun Home: A Family Tragicomic,"Bechdel, Alison",,,,Missouri,Nixa Public Schools,May 2022,Banned in Libraries and Classrooms,Formal Challenge
Fun Home: A Family Tragicomic,"Bechdel, Alison",,,,Missouri,North Kansas City Schools,October 2021,Banned Pending Investigation,Formal Challenge
Fun Home: A Family Tragicomic,"Bechdel, Alison",,,,Missouri,Wentzville School District,October 2021,Banned Pending Investigation,Formal Challenge
Fun Home: A Family Tragicomic,"Bechdel, Alison",,,,Rhode Island,Pawtucket School Department,December 2021,Banned in Libraries and Classrooms,Administrator
Fun Home: A Family Tragicomic,"Bechdel, Alison",,,,South Dakota,Rapid City Area Schools,April 2022,Banned in Libraries and Classrooms,Administrator
Fun Home: A Family Tragicomic,"Bechdel, Alison",,,,Texas,Birdville Independent School District,October 2021,Banned Pending Investigation,Formal Challenge
Fun Home: A Family Tragicomic,"Bechdel, Alison",,,,Texas,Clear Creek Independent School District,May 2022,Banned in Libraries and Classrooms,Administrator
Counting on Katherine: How Katherine Johnson Saved Apollo 13,"Becker, Helaine",,"Phumiruk, Dow",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
"Dating, Relationships, And Sexuality: What Teens Should Know","Beckman, Wendy Hart",,,,Texas,North East Independent School District,December 2021,Banned in Libraries,Administrator
Lucky Broken Girl,"Behar, Ruth",,,,Florida,Duval County Public Schools,January 2022,Banned Pending Investigation,Administrator
